features,model,mean_f1,std_f1
concat_pca113,"MLP (512, 128) lr=0.0001 do=0.5 act=GELU",0.9819069916418142,0.006050426854526392
concat_pca37,"MLP (256, 128) lr=0.0001 do=0.0 act=GELU",0.9819069916418142,0.006050426854526392
concat_pca37,SVM C=100  gamma=scale  kernel=rbf,0.9819069916418142,0.006050426854526392
concat_pca37,SVM C=10  gamma=scale  kernel=rbf,0.9819069916418142,0.006050426854526392
backbone_convnextv2,"MLP (1024, 1024) lr=0.01 do=0.0 act=ReLU",0.9819068573860534,0.012105118661850657
backbone_convnextv2,"MLP (1024, 1024) lr=0.01 do=0.5 act=GELU",0.9819013052234862,0.012110670824417968
concat_raw,"MLP (1024, 512) lr=0.0001 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024, 1024) lr=0.0001 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128,) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128,) lr=0.0001 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128,) lr=0.01 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (512, 2048) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (512, 1024) lr=0.0001 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128, 256) lr=0.01 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128, 128) lr=0.01 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128, 128) lr=0.01 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (2048,) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (512, 512) lr=0.0001 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024,) lr=0.0001 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
backbone_convnextv2,"MLP (2048, 2048) lr=0.0001 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
backbone_convnextv2,"MLP (2048, 1024) lr=0.0001 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
backbone_convnextv2,"MLP (2048, 1024) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
backbone_convnextv2,"MLP (512, 1024) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
backbone_convnextv2,"MLP (512, 2048) lr=0.0001 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
backbone_convnextv2,"MLP (512, 1024) lr=0.0001 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128, 256) lr=0.01 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128, 256) lr=0.01 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (256,) lr=0.01 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (256,) lr=0.01 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128,) lr=0.0001 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128,) lr=0.0001 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (512, 256) lr=0.01 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (512, 256) lr=0.01 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
backbone_convnextv2,"MLP (512, 1024) lr=0.0001 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
backbone_convnextv2,"MLP (1024, 512) lr=0.01 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (128, 512) lr=0.01 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
concat_pca37,"MLP (256, 128) lr=0.01 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (256, 256) lr=0.01 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
meta_convnext+bio+color,"MLP (512, 512) lr=0.01 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024, 512) lr=0.0001 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (512, 2048) lr=0.0001 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024,) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024,) lr=0.0001 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,LogReg C=0.01,0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024, 1024) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024, 1024) lr=0.0001 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024, 1024) lr=0.0001 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024, 512) lr=0.0001 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (512, 2048) lr=0.0001 do=0.0 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (512, 1024) lr=0.0001 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (512, 1024) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024, 2048) lr=0.0001 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (1024, 2048) lr=0.0001 do=0.5 act=ReLU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (2048, 512) lr=0.0001 do=0.5 act=GELU",0.9818832690067629,0.018116730993237018
concat_raw,"MLP (2048, 512) lr=0.0001 do=0.0 act=ReLU",0.9818832690067629,0.018116730993237018
