model,params,params_json,f1
MLP,"layers=(1024, 512, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(1024, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(1024, 256, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(256, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(512, 256, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853572572493413
MLP,"layers=(1024, 256, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853572572493413
MLP,"layers=(512, 256, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853572572493413
MLP,"layers=(1024, 1024, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853501636477559
MLP,"layers=(512,)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512,)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853501636477559
MLP,"layers=(512, 512, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853501636477559
MLP,"layers=(512,)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512,)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853501636477559
MLP,"layers=(1024, 512, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.985349997466766
MLP,"layers=(256, 512, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.985349997466766
MLP,"layers=(1024, 1024, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.985349997466766
MLP,"layers=(512, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.985349997466766
MLP,"layers=(256, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.985349997466766
MLP,"layers=(512, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853490918409279
MLP,"layers=(256,)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853490918409279
MLP,"layers=(512, 512, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853490918409279
MLP,"layers=(256, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853483899003908
MLP,"layers=(1024, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853419286471212
MLP,"layers=(256, 256, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853415683339679
MLP,"layers=(256, 256, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853411036591878
MLP,"layers=(512, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853409303971185
MLP,"layers=(1024, 512, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853409066818215
MLP,"layers=(512, 1024, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853409066818215
MLP,"layers=(256, 1024, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853409066818215
MLP,"layers=(256, 512, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(256, 512, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(256, 512, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(1024, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(1024, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(1024, 256, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(1024, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(512, 1024, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(256, 256, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(256, 256, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(256, 256, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(256, 1024, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(256, 512, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(1024, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853408118733323
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853407526114389
MLP,"layers=(512, 512, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853405034532592
MLP,"layers=(256, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853405034532592
MLP,"layers=(1024, 512, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853405034532592
MLP,"layers=(1024,)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853405034532592
MLP,"layers=(1024,)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853405034532592
MLP,"layers=(512, 512, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853402071437934
MLP,"layers=(256, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853402071437934
