model,mean_f1,std_f1
"MLP (512, 2048) lr=0.01 do=0.0 act=ReLU",0.987750701075489,0.0005182164581654103
"MLP (2048, 1024) lr=0.01 do=0.4 act=GELU",0.9877432456647496,0.0005349455555052618
"MLP (512, 1024) lr=0.01 do=0.2 act=ReLU",0.987734736225493,0.001070221348405731
"MLP (2048,) lr=0.01 do=0.0 act=GELU",0.9874624302297655,0.0018746197837505862
"MLP (512, 512) lr=0.01 do=0.0 act=ReLU",0.9874585905863995,0.0013337590968915403
"MLP (512,) lr=0.01 do=0.2 act=GELU",0.987237432987193,0.002105437056292625
"MLP (1024, 2048) lr=0.01 do=0.2 act=GELU",0.9872067313173079,0.0015897372933839637
"MLP (512, 512) lr=0.01 do=0.4 act=GELU",0.987203978687146,0.004262612368243934
"MLP (512,) lr=0.01 do=0.0 act=GELU",0.9871970207203289,0.0010669379277753466
"MLP (1024, 512) lr=0.01 do=0.4 act=ReLU",0.9871943379989998,0.0005349792637845963
"MLP (1024,) lr=0.01 do=0.4 act=GELU",0.986942243546026,0.0008052234820592474
"MLP (512,) lr=0.01 do=0.0 act=ReLU",0.9869401406655112,0.0002725725268349355
"MLP (512, 2048) lr=0.01 do=0.2 act=GELU",0.9869339779475061,0.0002609777861926621
"MLP (1024,) lr=0.01 do=0.4 act=ReLU",0.9866752954825802,0.001590740263898216
"MLP (1024, 512) lr=0.01 do=0.2 act=GELU",0.9866729297686221,1.2593200097554824e-05
"MLP (2048, 1024) lr=0.01 do=0.4 act=ReLU",0.9866713352116321,0.0026698904003660817
"MLP (2048, 2048) lr=0.01 do=0.4 act=ReLU",0.9866683585298937,0.0005665614495521942
"MLP (1024,) lr=0.01 do=0.0 act=ReLU",0.9866681718125256,0.0021358300658222418
"MLP (512, 512) lr=0.01 do=0.2 act=GELU",0.9866633198633707,0.0005314947186840224
"MLP (1024, 1024) lr=0.01 do=0.0 act=GELU",0.9866594796184347,0.0010772442923892567
"MLP (1024, 2048) lr=0.01 do=0.4 act=ReLU",0.9866580527135633,0.0016110257118620575
SVM C=100  gamma=scale  kernel=rbf,0.9864484685388056,0.0008081572530126424
SVM C=10  gamma=scale  kernel=rbf,0.9864484685388056,0.0008081572530126424
"MLP (2048, 2048) lr=0.01 do=0.2 act=GELU",0.9864138555003699,0.0002284641253278985
"MLP (512, 1024) lr=0.01 do=0.2 act=GELU",0.986402680052129,0.0008080565715298804
"MLP (1024, 1024) lr=0.01 do=0.4 act=GELU",0.9863959191002838,0.0018772145035992893
"MLP (512, 1024) lr=0.01 do=0.4 act=GELU",0.9861476317352502,0.0010715743131781141
"MLP (2048,) lr=0.01 do=0.4 act=ReLU",0.9861317110535937,0.0026749982235058645
"MLP (512, 2048) lr=0.01 do=0.4 act=GELU",0.9858982094166913,0.00025977189556897207
"MLP (2048, 512) lr=0.01 do=0.2 act=GELU",0.9858756917183966,0.0007989258895043094
"MLP (512, 1024) lr=0.01 do=0.0 act=ReLU",0.9858735629246643,0.0008025566435613252
"MLP (512,) lr=0.01 do=0.4 act=GELU",0.9858698148241849,0.0013281109374888023
"MLP (512, 2048) lr=0.01 do=0.2 act=ReLU",0.9858679350577826,0.0024020079340940637
"MLP (2048, 1024) lr=0.01 do=0.2 act=GELU",0.985854333526361,0.004545646322555996
"MLP (1024, 512) lr=0.01 do=0.0 act=GELU",0.9858467113753178,0.0029224858285460953
SVM C=1  gamma=scale  kernel=rbf,0.9856493483550876,7.787895297650671e-06
"MLP (1024, 512) lr=0.01 do=0.2 act=ReLU",0.9856475724086993,0.0015798964023447937
"MLP (512, 1024) lr=0.01 do=0.4 act=ReLU",0.9856099389564869,0.0010560948467966957
"MLP (512,) lr=0.01 do=0.2 act=ReLU",0.9856003345774633,0.0010665234542416857
"MLP (1024, 1024) lr=0.01 do=0.0 act=ReLU",0.9853405623885831,0.00027015319024797924
"MLP (2048, 1024) lr=0.01 do=0.0 act=GELU",0.985075790461232,0.0015932393606962747
kNN k=5 cosine,0.9848151954133721,0.0002814976311368844
"MLP (1024, 512) lr=0.01 do=0.0 act=ReLU",0.9848121256387492,0.00451680797900178
"MLP (2048, 512) lr=0.01 do=0.2 act=ReLU",0.9845916093051639,0.0026074057320771837
"MLP (2048, 2048) lr=0.01 do=0.2 act=ReLU",0.9845654202701843,0.0011138083290594403
"MLP (2048,) lr=0.01 do=0.0 act=ReLU",0.9845350960168272,0.0021430729157936312
"MLP (512, 1024) lr=0.01 do=0.0 act=GELU",0.9845261138685614,0.0005297517664504259
"MLP (1024, 2048) lr=0.01 do=0.2 act=ReLU",0.9843402691940732,0.0018247103718584956
"MLP (1024, 2048) lr=0.01 do=0.0 act=ReLU",0.984265497861331,0.0007982859213385152
"MLP (2048,) lr=0.01 do=0.2 act=ReLU",0.9842617050318858,0.0013377364440369521
"MLP (2048, 1024) lr=0.01 do=0.2 act=ReLU",0.9840772587533198,0.0015328212045888634
"MLP (2048, 2048) lr=0.01 do=0.0 act=ReLU",0.9840195796403695,0.001605283812709024
"MLP (1024, 1024) lr=0.01 do=0.2 act=ReLU",0.9839768838758477,0.0048228764513906786
"MLP (512, 2048) lr=0.01 do=0.0 act=GELU",0.98395485227876,0.0032376147157593405
"MLP (1024,) lr=0.01 do=0.2 act=GELU",0.9837758542023077,0.0007579773413343149
"MLP (2048, 512) lr=0.01 do=0.0 act=ReLU",0.9834917778375176,0.0026580212901669564
"MLP (2048, 1024) lr=0.01 do=0.0 act=ReLU",0.9834613871515658,0.0021441663120738697
kNN k=10 cosine,0.9832180691792114,0.0003028623319042967
"MLP (2048, 2048) lr=0.01 do=0.0 act=GELU",0.9831587461605786,0.0024299852457014826
"MLP (1024, 2048) lr=0.01 do=0.0 act=GELU",0.9829430380200139,0.00426787068894513
kNN k=15 cosine,0.9829417585532757,0.0016326326850170103
"MLP (2048,) lr=0.01 do=0.4 act=GELU",0.9827049721528881,0.003972026876999157
"MLP (2048, 2048) lr=0.01 do=0.4 act=GELU",0.9826577483381892,0.0018753743684244428
"MLP (1024, 1024) lr=0.01 do=0.2 act=GELU",0.9824369995326395,0.005297389352367121
"MLP (1024,) lr=0.01 do=0.0 act=GELU",0.9823972088489566,0.004280864523300898
kNN k=20 cosine,0.9821492370571103,0.000852430311616581
"MLP (2048, 512) lr=0.01 do=0.0 act=GELU",0.9821238544935955,0.003998556995582381
"MLP (2048,) lr=0.01 do=0.2 act=GELU",0.9813828570619083,0.00476305343471306
SVM C=10  gamma=auto  kernel=rbf,0.9809343699538463,0.0005440752193316412
SVM C=100  gamma=auto  kernel=rbf,0.9809343699538463,0.0005440752193316412
kNN k=5 euclidean,0.9806016382706013,0.0018379443592707045
SVM C=1  gamma=auto  kernel=rbf,0.9798989867459174,0.0004913079885973115
kNN k=10 euclidean,0.9792919292004564,0.001032485895612334
kNN k=15 euclidean,0.9782584401169536,0.00205479574781825
kNN k=20 euclidean,0.9777411287846656,0.0020735684158966206
SVM C=0.1  gamma=scale  kernel=rbf,0.9614462008177138,0.005301823109313153
SVM C=0.1  gamma=auto  kernel=rbf,0.8793088951615895,0.00251442822224085
SVM C=0.01  gamma=scale  kernel=rbf,0.3824796229794124,0.030213938001411977
SVM C=0.01  gamma=auto  kernel=rbf,0.3486291749746964,0.006516835525234854
