model,mean_f1,std_f1
"MLP (512, 512) lr=0.01 do=0.0 act=ReLU",0.9614801433398157,0.019774011455160834
"MLP (1024, 512) lr=0.01 do=0.0 act=ReLU",0.9598819979186537,0.013945466010868879
"MLP (2048,) lr=0.01 do=0.5 act=GELU",0.9598205352214593,0.016184547325336196
"MLP (1024,) lr=0.01 do=0.0 act=GELU",0.9598094194814604,0.015802292036222576
"MLP (1024,) lr=0.01 do=0.0 act=ReLU",0.9595800919950648,0.01617391242526861
"MLP (2048, 512) lr=0.01 do=0.0 act=GELU",0.9593448369578819,0.0023969971723951655
"MLP (2048, 1024) lr=0.01 do=0.5 act=GELU",0.9586650643850864,0.01187948958417917
"MLP (1024, 1024) lr=0.01 do=0.0 act=ReLU",0.9584642170265587,0.017371207067001404
"MLP (1024, 2048) lr=0.01 do=0.0 act=GELU",0.9584143793942397,0.012491070881101407
"MLP (512, 1024) lr=0.01 do=0.0 act=GELU",0.9580230778957354,0.020232584519926933
"MLP (2048, 2048) lr=0.01 do=0.0 act=ReLU",0.9555006582982819,0.009837392164179726
"MLP (2048, 1024) lr=0.01 do=0.0 act=ReLU",0.9550116386484676,0.01830486014227195
"MLP (512,) lr=0.01 do=0.0 act=ReLU",0.9540818738250612,0.021872107168919686
"MLP (2048,) lr=0.01 do=0.0 act=ReLU",0.9526792703664458,0.020545062763881128
"MLP (512, 512) lr=0.01 do=0.0 act=GELU",0.9507064370596787,0.02288753929776488
"MLP (2048, 1024) lr=0.01 do=0.0 act=GELU",0.9432835998687495,0.016770414498518904
SVM C=0.1  gamma=scale  kernel=rbf,0.7063445526305714,0.008851768874892862
SVM C=0.1  gamma=auto  kernel=rbf,0.6241181549434416,0.054210987458811144
SVM C=0.01  gamma=scale  kernel=rbf,0.3928411287655142,0.014635083773023971
SVM C=0.01  gamma=auto  kernel=rbf,0.3840235003794649,0.02005056597856597
