model,params,params_json,f1
MLP,"layers=(256, 256)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(256, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906662494309055
MLP,"layers=(512, 1024, 1024)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(512, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906657800143311
MLP,"layers=(1024, 256)  act=GELU  drop=0.2  lr=0.01","{""layers"": ""(1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.01}",0.9906657207524383
MLP,"layers=(1024, 1024, 256)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(1024, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906571847005434
MLP,"layers=(256,)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.989359294721091
MLP,"layers=(256,)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.989359294721091
MLP,"layers=(256,)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.989359294721091
MLP,"layers=(256,)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.989359294721091
MLP,"layers=(256,)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.989359294721091
MLP,"layers=(256, 1024, 512)  act=GELU  drop=0.0  lr=0.01","{""layers"": ""(256, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.01}",0.9893589390865083
MLP,"layers=(1024,)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893508748536971
MLP,"layers=(1024,)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893508748536971
MLP,"layers=(512, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893508748536971
MLP,"layers=(512,)  act=GELU  drop=0.2  lr=0.01","{""layers"": ""(512,)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.01}",0.9893505168798292
MLP,"layers=(1024, 256, 512)  act=ReLU  drop=0.2  lr=0.01","{""layers"": ""(1024, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.01}",0.989350457617936
MLP,"layers=(512, 1024, 1024)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 1024, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893420448316221
MLP,"layers=(512, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(256, 256)  act=GELU  drop=0.2  lr=0.01","{""layers"": ""(256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.01}",0.9893418670459427
MLP,"layers=(256,)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 1024, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893417461196474
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893417461196474
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893417461196474
